2022-12-06 14:56:29.0152||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\TriNghia-PC-29\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. 
2022-12-06 14:56:30.3014||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... 
2022-12-06 14:56:30.4414||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. 
2022-12-06 14:56:31.3071||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' 
2022-12-06 14:56:31.3288||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: 
2022-12-06 14:56:31.3288||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. 
2022-12-06 14:56:31.3486||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. 
2022-12-06 14:56:31.3486||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 
2022-12-06 14:56:31.3743||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:c9900ea5 has started in 15.4347 ms 
2022-12-06 14:56:31.4181||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:be330f61 is announcing itself... 
2022-12-06 14:56:31.5136||TRACE|Hangfire.RecurringJobManager|Recurring job 'StatusTask' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/59 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"UpdateStatusTask","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2022-12-06T07:56:31.4573641Z;NextExecution:2022-12-06T07:59:00.0000000Z;V:2), NextExecution: (12/6/2022 7:59:00 AM) 
2022-12-06 14:56:31.5799||TRACE|Hangfire.RecurringJobManager|Recurring job 'EVMDaily' is being updated. RecurringJob: (), Changes: (Queue:default;Cron:*/59 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"CalculatorProjectCostEveryDay","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2022-12-06T07:56:31.5791310Z;NextExecution:2022-12-06T07:59:00.0000000Z;V:2), NextExecution: (12/6/2022 7:59:00 AM) 
2022-12-06 14:56:31.5799||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' 
2022-12-06 14:56:31.5799||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: 
2022-12-06 14:56:31.5799||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. 
2022-12-06 14:56:31.5799||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. 
2022-12-06 14:56:31.5799||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:30
    Schedule polling interval: 00:00:15 
2022-12-06 14:56:31.5934||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:8865f25b has started in 6.0123 ms 
2022-12-06 14:56:31.5934||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:e6a443b1 is announcing itself... 
2022-12-06 14:56:31.5934|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 DEBUG http://localhost:5001/  0 
2022-12-06 14:56:31.5934|1|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request starting HTTP/1.1 GET http://localhost:5001/   
2022-12-06 14:56:31.6257||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:e6a443b1 successfully announced in 25.5922 ms 
2022-12-06 14:56:31.6257||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:be330f61 successfully announced in 91.765 ms 
2022-12-06 14:56:31.6404||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:95582b76 has started in 12.4121 ms 
2022-12-06 14:56:31.6404||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:27cd0261 has started in 12.4121 ms 
2022-12-06 14:56:31.6404||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:e6a443b1 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... 
2022-12-06 14:56:31.6404||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:18816:be330f61 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, Worker, DelayedJobScheduler, RecurringJobScheduler... 
2022-12-06 14:56:31.6570||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:e6a443b1 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:56:31.6570||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:18816:be330f61 waiting for 00:00:30 delay before sending a heartbeat 
2022-12-06 14:56:31.6570||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:8d2d1cd8 has started in 5.5945 ms 
2022-12-06 14:56:31.6570||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:606362b2 has started in 12.1061 ms 
2022-12-06 14:56:31.6570|2|INFO|Microsoft.AspNetCore.Hosting.Internal.WebHost|Request finished in 66.4794ms 200  
2022-12-06 14:56:31.6570||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:9c106f94 has started in 15.2537 ms 
2022-12-06 14:56:31.6729||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:f89694fa has started in 15.6498 ms 
2022-12-06 14:56:31.6729||INFO|Hangfire.Server.ServerWatchdog|2 servers were removed due to timeout 
2022-12-06 14:56:31.6729||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:31.6729||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... 
2022-12-06 14:56:31.6729||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:ec678f28 has started in 12.6312 ms 
2022-12-06 14:56:31.6868||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:35bf74b7 has started in 21.8221 ms 
2022-12-06 14:56:31.6868||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
2022-12-06 14:56:31.6868||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. 
