2023-02-02 08:36:41.7474||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Start installing Hangfire SQL objects... |url: |action: 
2023-02-02 08:36:41.7860||INFO|Hangfire.PostgreSql.PostgreSqlStorage|Hangfire SQL objects installed. |url: |action: 
2023-02-02 08:36:42.1696||INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'PostgreSQL Server: Host: localhost, DB: HDTL, Schema: hangfire' |url: |action: 
2023-02-02 08:36:42.1785||INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: |url: |action: 
2023-02-02 08:36:42.1785||INFO|Hangfire.BackgroundJobServer|    Queue poll interval: 00:00:15. |url: |action: 
2023-02-02 08:36:42.1785||INFO|Hangfire.BackgroundJobServer|    Invisibility timeout: 00:30:00. |url: |action: 
2023-02-02 08:36:42.1785||INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15 |url: |action: 
2023-02-02 08:36:42.2028||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:0973c2be has started in 6.4724 ms |url: |action: 
2023-02-02 08:36:42.2159||TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21032:8b9a480b is announcing itself... |url: |action: 
2023-02-02 08:36:42.2881||INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-8nqps5h:21032:8b9a480b successfully announced in 70.7364 ms |url: |action: 
2023-02-02 08:36:42.2881||DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:24ffc699 has started in 2.8661 ms |url: |action: 
2023-02-02 08:36:42.2981||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:21032:8b9a480b waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
