2023-02-24 08:33:07.9897||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:07.9897||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:08.6703||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:08.6712||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:13.6787||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:13.6948||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:13.6948||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:13.7204||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:17.6312||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'EVMDaily' is being updated. RecurringJob: (Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-11T06:09:11.7098468Z;V:2;Queue:default;Cron:*/10 * * * *;TimeZoneId:SE Asia Standard Time;LastExecution:2023-02-23T11:00:11.0244662Z;NextExecution:2023-02-23T11:10:00.0000000Z;LastJobId:15538), Changes: (LastExecution:2023-02-24T01:33:16.4887700Z;NextExecution:2023-02-24T01:40:00.0000000Z;LastJobId:15555), NextExecution: (2/24/2023 1:40:00 AM) |url: |action: 
2023-02-24 08:33:17.7453||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Cảnh báo hạn báo cáo' is being updated. RecurringJob: (Queue:default;Cron:*/2 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-06T03:27:30.0981312Z;V:2;LastExecution:2023-02-23T11:08:11.7631906Z;NextExecution:2023-02-23T11:10:00.0000000Z;LastJobId:15552), Changes: (LastExecution:2023-02-24T01:33:17.6827623Z;NextExecution:2023-02-24T01:34:00.0000000Z;LastJobId:15556), NextExecution: (2/24/2023 1:34:00 AM) |url: |action: 
2023-02-24 08:33:17.7883||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'Deadline' is being updated. RecurringJob: (Queue:default;Cron:* * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"AlertReportPoint","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-02-23T10:46:20.6534863Z;V:2;LastExecution:2023-02-23T11:09:11.8942388Z;NextExecution:2023-02-23T11:10:00.0000000Z;LastJobId:15554), Changes: (LastExecution:2023-02-24T01:33:17.7561022Z;NextExecution:2023-02-24T01:34:00.0000000Z;LastJobId:15557), NextExecution: (2/24/2023 1:34:00 AM) |url: |action: 
2023-02-24 08:33:17.8561||TRACE|Hangfire.Server.RecurringJobScheduler|Recurring job 'StatusTask' is being updated. RecurringJob: (Queue:default;Cron:*/59 * * * *;TimeZoneId:SE Asia Standard Time;Job:{"Type":"TN.TNM.Api.RecurringJobs.RecurringJobsService, TN.TNM.Api, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null","Method":"UpdateStatusTask","ParameterTypes":"[]","Arguments":"[]"};CreatedAt:2023-01-11T06:09:11.6277951Z;V:2;LastExecution:2023-02-23T11:00:11.0544417Z;NextExecution:2023-02-23T11:59:00.0000000Z;LastJobId:15541), Changes: (LastExecution:2023-02-24T01:33:17.8127880Z;NextExecution:2023-02-24T01:59:00.0000000Z;LastJobId:15558), NextExecution: (2/24/2023 1:59:00 AM) |url: |action: 
2023-02-24 08:33:17.8769||DEBUG|Hangfire.Server.RecurringJobScheduler|4 recurring job(s) processed by scheduler. |url: |action: 
2023-02-24 08:33:18.7262||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:18.7262||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:18.7262||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:18.7262||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:23.7338||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:23.7338||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:23.7338||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:23.7338||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:26.0010||INFO|TN.TNM.BusinessLogic.Factories.Notification.NotificationFactory|Get Notification |url: http://localhost/api/notification/getNotification|action: GetNotification
2023-02-24 08:33:27.1557||INFO|TN.TNM.BusinessLogic.Factories.Notification.NotificationFactory|Get Notification |url: http://localhost/api/notification/getNotification|action: GetNotification
2023-02-24 08:33:27.2246||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:3a7ba423 heartbeat successfully sent |url: |action: 
2023-02-24 08:33:27.2246||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:3a7ba423 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 08:33:27.2359||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:a55acdfd heartbeat successfully sent |url: |action: 
2023-02-24 08:33:27.2359||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:a55acdfd waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 08:33:28.7489||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:28.7489||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:28.7489||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:28.7489||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:33.7612||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:33.7612||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:33.7612||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:33.7612||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:38.7839||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:38.7839||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:38.7839||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:38.7839||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:43.7989||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:43.7989||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:43.7989||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:43.7989||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:48.8038||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:48.8038||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:48.8038||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:48.8169||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:53.8320||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:53.8320||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:53.8320||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:53.8320||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
2023-02-24 08:33:57.2347||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:3a7ba423 heartbeat successfully sent |url: |action: 
2023-02-24 08:33:57.2347||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:3a7ba423 waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 08:33:57.2499||DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:a55acdfd heartbeat successfully sent |url: |action: 
2023-02-24 08:33:57.2499||TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-8nqps5h:20108:a55acdfd waiting for 00:00:30 delay before sending a heartbeat |url: |action: 
2023-02-24 08:33:58.8428||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:58.8428||TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs... |url: |action: 
2023-02-24 08:33:58.8445||TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found. |url: |action: 
